"rate","role_rep","timeStep_rep","expId_rep","alpha_rep","k_rep"
0.242424242424242,"Supplier",1,1,0.25,0.25
0.393939393939394,"Supplier",2,1,0.25,0.25
0.606060606060606,"Supplier",3,1,0.25,0.25
0.787878787878788,"Supplier",4,1,0.25,0.25
0.909090909090909,"Supplier",5,1,0.25,0.25
0.909090909090909,"Supplier",6,1,0.25,0.25
0.939393939393939,"Supplier",7,1,0.25,0.25
1,"Supplier",8,1,0.25,0.25
1,"Supplier",9,1,0.25,0.25
1,"Supplier",10,1,0.25,0.25
1,"Supplier",11,1,0.25,0.25
1,"Supplier",12,1,0.25,0.25
1,"Supplier",13,1,0.25,0.25
1,"Supplier",14,1,0.25,0.25
1,"Supplier",15,1,0.25,0.25
1,"Supplier",16,1,0.25,0.25
1,"Supplier",17,1,0.25,0.25
1,"Supplier",18,1,0.25,0.25
1,"Supplier",19,1,0.25,0.25
1,"Supplier",20,1,0.25,0.25
1,"Supplier",21,1,0.25,0.25
1,"Supplier",22,1,0.25,0.25
1,"Supplier",23,1,0.25,0.25
1,"Supplier",24,1,0.25,0.25
1,"Supplier",25,1,0.25,0.25
1,"Supplier",26,1,0.25,0.25
1,"Supplier",27,1,0.25,0.25
1,"Supplier",28,1,0.25,0.25
1,"Supplier",29,1,0.25,0.25
1,"Supplier",30,1,0.25,0.25
1,"Supplier",31,1,0.25,0.25
1,"Supplier",32,1,0.25,0.25
1,"Supplier",33,1,0.25,0.25
1,"Supplier",34,1,0.25,0.25
1,"Supplier",35,1,0.25,0.25
1,"Supplier",36,1,0.25,0.25
1,"Supplier",37,1,0.25,0.25
1,"Supplier",38,1,0.25,0.25
1,"Supplier",39,1,0.25,0.25
1,"Supplier",40,1,0.25,0.25
1,"Supplier",41,1,0.25,0.25
1,"Supplier",42,1,0.25,0.25
1,"Supplier",43,1,0.25,0.25
1,"Supplier",44,1,0.25,0.25
1,"Supplier",45,1,0.25,0.25
1,"Supplier",46,1,0.25,0.25
1,"Supplier",47,1,0.25,0.25
1,"Supplier",48,1,0.25,0.25
1,"Supplier",49,1,0.25,0.25
1,"Supplier",50,1,0.25,0.25
1,"Supplier",51,1,0.25,0.25
0.212121212121212,"Manufacturer",1,1,0.25,0.25
0.363636363636364,"Manufacturer",2,1,0.25,0.25
0.393939393939394,"Manufacturer",3,1,0.25,0.25
0.393939393939394,"Manufacturer",4,1,0.25,0.25
0.393939393939394,"Manufacturer",5,1,0.25,0.25
0.393939393939394,"Manufacturer",6,1,0.25,0.25
0.454545454545455,"Manufacturer",7,1,0.25,0.25
0.484848484848485,"Manufacturer",8,1,0.25,0.25
0.515151515151515,"Manufacturer",9,1,0.25,0.25
0.606060606060606,"Manufacturer",10,1,0.25,0.25
0.636363636363636,"Manufacturer",11,1,0.25,0.25
0.848484848484849,"Manufacturer",12,1,0.25,0.25
0.939393939393939,"Manufacturer",13,1,0.25,0.25
1,"Manufacturer",14,1,0.25,0.25
1,"Manufacturer",15,1,0.25,0.25
1,"Manufacturer",16,1,0.25,0.25
1,"Manufacturer",17,1,0.25,0.25
1,"Manufacturer",18,1,0.25,0.25
1,"Manufacturer",19,1,0.25,0.25
1,"Manufacturer",20,1,0.25,0.25
1,"Manufacturer",21,1,0.25,0.25
1,"Manufacturer",22,1,0.25,0.25
1,"Manufacturer",23,1,0.25,0.25
1,"Manufacturer",24,1,0.25,0.25
1,"Manufacturer",25,1,0.25,0.25
1,"Manufacturer",26,1,0.25,0.25
1,"Manufacturer",27,1,0.25,0.25
1,"Manufacturer",28,1,0.25,0.25
1,"Manufacturer",29,1,0.25,0.25
1,"Manufacturer",30,1,0.25,0.25
1,"Manufacturer",31,1,0.25,0.25
1,"Manufacturer",32,1,0.25,0.25
1,"Manufacturer",33,1,0.25,0.25
1,"Manufacturer",34,1,0.25,0.25
1,"Manufacturer",35,1,0.25,0.25
1,"Manufacturer",36,1,0.25,0.25
1,"Manufacturer",37,1,0.25,0.25
1,"Manufacturer",38,1,0.25,0.25
1,"Manufacturer",39,1,0.25,0.25
1,"Manufacturer",40,1,0.25,0.25
1,"Manufacturer",41,1,0.25,0.25
1,"Manufacturer",42,1,0.25,0.25
1,"Manufacturer",43,1,0.25,0.25
1,"Manufacturer",44,1,0.25,0.25
1,"Manufacturer",45,1,0.25,0.25
1,"Manufacturer",46,1,0.25,0.25
1,"Manufacturer",47,1,0.25,0.25
1,"Manufacturer",48,1,0.25,0.25
1,"Manufacturer",49,1,0.25,0.25
1,"Manufacturer",50,1,0.25,0.25
1,"Manufacturer",51,1,0.25,0.25
0.294117647058824,"Retailer",1,1,0.25,0.25
0.441176470588235,"Retailer",2,1,0.25,0.25
0.558823529411765,"Retailer",3,1,0.25,0.25
0.588235294117647,"Retailer",4,1,0.25,0.25
0.705882352941177,"Retailer",5,1,0.25,0.25
0.823529411764706,"Retailer",6,1,0.25,0.25
0.882352941176471,"Retailer",7,1,0.25,0.25
0.882352941176471,"Retailer",8,1,0.25,0.25
0.911764705882353,"Retailer",9,1,0.25,0.25
0.941176470588235,"Retailer",10,1,0.25,0.25
1,"Retailer",11,1,0.25,0.25
1,"Retailer",12,1,0.25,0.25
1,"Retailer",13,1,0.25,0.25
1,"Retailer",14,1,0.25,0.25
1,"Retailer",15,1,0.25,0.25
1,"Retailer",16,1,0.25,0.25
1,"Retailer",17,1,0.25,0.25
1,"Retailer",18,1,0.25,0.25
1,"Retailer",19,1,0.25,0.25
1,"Retailer",20,1,0.25,0.25
1,"Retailer",21,1,0.25,0.25
1,"Retailer",22,1,0.25,0.25
1,"Retailer",23,1,0.25,0.25
1,"Retailer",24,1,0.25,0.25
1,"Retailer",25,1,0.25,0.25
1,"Retailer",26,1,0.25,0.25
1,"Retailer",27,1,0.25,0.25
1,"Retailer",28,1,0.25,0.25
1,"Retailer",29,1,0.25,0.25
1,"Retailer",30,1,0.25,0.25
1,"Retailer",31,1,0.25,0.25
1,"Retailer",32,1,0.25,0.25
1,"Retailer",33,1,0.25,0.25
1,"Retailer",34,1,0.25,0.25
1,"Retailer",35,1,0.25,0.25
1,"Retailer",36,1,0.25,0.25
